Id,Time[ns],Parallel: Items
313,6608290.00000000000000000000,B5
314,6611450.00000000000000000000,77
315,6611460.00000000000000000000,43
316,6614610.00000000000000000000,79
317,6614620.00000000000000000000,39
318,6617770.00000000000000000000,21
319,6620920.00000000000000000000,68
320,6620930.00000000000000000000,48
321,6624070.00000000000000000000,68
322,6624080.00000000000000000000,6F
323,6624090.00000000000000000000,67
324,6624100.00000000000000000000,27
325,6627230.00000000000000000000,B7
326,6627240.00000000000000000000,B6
327,6630390.00000000000000000000,34
328,6630400.00000000000000000000,24
329,6633540.00000000000000000000,AE
330,6633550.00000000000000000000,8E
331,6636700.00000000000000000000,B7
332,6636710.00000000000000000000,BF
333,6636720.00000000000000000000,B7
334,6639860.00000000000000000000,34
335,6639870.00000000000000000000,10
336,6643010.00000000000000000000,EA
337,6643020.00000000000000000000,EB
338,6646170.00000000000000000000,6C
339,6646180.00000000000000000000,04
340,6649320.00000000000000000000,44
341,6649330.00000000000000000000,ED
342,6649340.00000000000000000000,E9
343,6652480.00000000000000000000,FB
344,6652490.00000000000000000000,FA
345,6652500.00000000000000000000,BA
346,6655640.00000000000000000000,7D
347,6655650.00000000000000000000,45
348,6658790.00000000000000000000,35
349,6658800.00000000000000000000,FD
350,6658810.00000000000000000000,B9
351,6661950.00000000000000000000,7D
352,6661960.00000000000000000000,45
353,6665110.00000000000000000000,65
354,6665120.00000000000000000000,21
355,6668260.00000000000000000000,2B
356,6668270.00000000000000000000,0B
357,6671420.00000000000000000000,CD
358,6674570.00000000000000000000,DD
359,6674580.00000000000000000000,5C
360,6674590.00000000000000000000,54
361,6677730.00000000000000000000,6F
362,6680890.00000000000000000000,7D
363,6680900.00000000000000000000,59
364,6684040.00000000000000000000,DD
365,6684050.00000000000000000000,8D
366,6687200.00000000000000000000,AD
367,6690360.00000000000000000000,7E
368,6690370.00000000000000000000,5E
369,6693510.00000000000000000000,DE
370,6693520.00000000000000000000,C4
371,6696670.00000000000000000000,F6
372,6696690.00000000000000000000,B6
373,6699830.00000000000000000000,85
374,6702980.00000000000000000000,E5
375,6702990.00000000000000000000,E4
376,6706140.00000000000000000000,6D
377,6706150.00000000000000000000,2D
378,6709290.00000000000000000000,3F
379,6709300.00000000000000000000,9F
380,6712450.00000000000000000000,3F
381,6712460.00000000000000000000,3B
382,6715610.00000000000000000000,FE
383,6718760.00000000000000000000,FF
384,6718770.00000000000000000000,17
385,6721920.00000000000000000000,54
386,6725070.00000000000000000000,74
387,6725080.00000000000000000000,B7
388,6725090.00000000000000000000,B3
389,6728240.00000000000000000000,B1
390,6731390.00000000000000000000,F9
391,6731400.00000000000000000000,C9
392,6734540.00000000000000000000,D9
393,6734560.00000000000000000000,D1
394,6737700.00000000000000000000,DC
395,6737710.00000000000000000000,CC
396,6740860.00000000000000000000,EF
397,6740870.00000000000000000000,EB
398,6744020.00000000000000000000,0B
399,6747170.00000000000000000000,18
400,6750320.00000000000000000000,58
401,6750330.00000000000000000000,DD
402,6750340.00000000000000000000,D5
403,6753480.00000000000000000000,77
404,6756640.00000000000000000000,7D
405,6756650.00000000000000000000,39
406,6759790.00000000000000000000,FB
407,6759800.00000000000000000000,CB
408,6762950.00000000000000000000,FC
